movie#,title,year,synopsis,critic_score,people_score,consensus,type,genre,director,producer,writer,theater_release,streaming_release,box_office_gross($M),production_co,score_differential
919,Sing Street,2016,"In 1985, a Dublin teenager (Ferdia Walsh-Peelo) forms a rock 'n' roll band to win the heart of an aspiring model (Lucy Boynton).",95.0,92.0,"Sing Street is a feel-good musical with huge heart and irresistible optimism, and its charmimg cast and hummable tunes help to elevate its familiar plotting.",Musical & Performing Arts,"comedy, drama, romance, music",John Carney,"Anthony Bregman, Martina Niland, John Carney",John Carney,"May 13, 2016 wide","Apr 1, 2017",3.2,"PalmStar Media Capital, Cosmo Films, Likely Story, Distressed Films, FilmWave, Merced Media Partners",3.0
922,Stop Making Sense,1984,"Director Jonathan Demme captures the frantic energy and artsy groove of Talking Heads in this concert movie shot at the Hollywood Pantages Theatre in 1983. The band's frontman, David Byrne, first appears on an empty stage, armed with only an acoustic guitar, and is gradually joined by bassist Tina Weymouth, drummer Chris Frantz, keyboardist Jerry Harrison and a cadre of backup singers as they perform the band's hits, culminating in an iconic performance featuring Byrne in an enormous suit.",100.0,98.0,"Jonathan Demme's Stop Making Sense captures the energetic, unpredictable live act of peak Talking Heads with color and visual wit.",Musical & Performing Arts,"music, documentary",Jonathan Demme,Gary Goetzman,,,"Aug 10, 2016",0.1484,Arnold Stiefel Company,2.0
924,Fantasia,1940,"Released in 1940, represented Disney's boldest experiment to date. Bringing to life his vision of blending animated imagery with classical music. What had begun as a vehicle to enhance Mickey Mouse's career blossomed into a full-blown feature that remains unique in the history of animation.",95.0,83.0,"A landmark in animation (and a huge influence on the medium of music video), Disney's Fantasia is a relentlessly inventive blend of the classics with phantasmagorical images.",Musical & Performing Arts,"kids and family, animation, fantasy","James Algar, Samuel Armstrong, Ford Beebe, Norman Ferguson, Jim Handley, T. Hee, Wilfred Jackson, Hamilton Luske, Bill Roberts, Paul Satterfield",,,,"May 5, 2017",24.8,Walt Disney Productions,12.0
926,The Young Girls of Rochefort,1967,"Delphine (Catherine Deneuve) and Solange (Françoise Dorléac) are twin sisters who each want to find romance and leave their small seaside town of Rochefort, France. Soon they befriend a couple of visiting carnival workers who frequent their lonely mother's (Danielle Darrieux) café and hire the girls to sing in the carnival. Wanting a career as a songwriter, Solange falls for an American musician, Andy (Gene Kelly), while Delphine dumps her beau and searches Rochefort for her ideal man.",98.0,84.0,The Young Girls of Rochefort pays colorful homage to classic Hollywood musicals while earning its own emotionally affecting place of honor in the genre.,Musical & Performing Arts,"romance, musical","Jacques Demy, Agnès Varda","Perrine Bauduin, Gilbert De Goldschmidt","Jacques Demy, Julian More",,"Apr 11, 2017",0.0885,Miramax,14.0
927,Anvil! The Story of Anvil,2008,"Canadian heavy-metal band Anvil delivered a highly influential 1982 album that would inspire the likes of Anthrax and Metallica, and then dropped off the map to begin what would become decades of toiling in obscurity. Director and former roadie Sacha Gervasi follows guitarist Steve ""Lips"" Kudlow and drummer Robb Reiner as they stumble through a harrowing European tour and reflect on failure, friendship, resilience and the will to follow even the most impossible of dreams.",98.0,91.0,"A touching, uplifting and inspirational rockumentary about an aging metal band, both hilarious and heart-warming in equal measure.",Musical & Performing Arts,documentary,Sacha Gervasi,Rebecca Yeldham,,"Apr 10, 2009 limited","Apr 26, 2017",0.6667000000000001,Sacha Gervasi,7.0
928,Once,2006,"A vacuum repairman (Glen Hansard) moonlights as a street musician and hopes for his big break. One day a Czech immigrant (Marketa Irglova), who earns a living selling flowers, approaches him with the news that she is also an aspiring singer-songwriter. The pair decide to collaborate, and the songs that they compose reflect the story of their blossoming love.",97.0,91.0,"A charming, captivating tale of love and music, Once sets the standard for the modern musical. And with Dublin as its backdrop, Once is fun and fresh.",Musical & Performing Arts,"musical, romance, drama",John Carney,Martina Niland,John Carney,"May 16, 2007 limited","Nov 19, 2015",9.4,"Samson Films, RTE, Irish Film Board",6.0
929,The Lion King,1994,"This Disney animated feature follows the adventures of the young lion Simba (Jonathan Taylor Thomas), the heir of his father, Mufasa (James Earl Jones). Simba's wicked uncle, Scar (Jeremy Irons), plots to usurp Mufasa's throne by luring father and son into a stampede of wildebeests. But Simba escapes, and only Mufasa is killed. Simba returns as an adult (Matthew Broderick) to take back his homeland from Scar with the help of his friends Timon (Nathan Lane) and Pumbaa (Ernie Sabella).",93.0,93.0,"Emotionally stirring, richly drawn, and beautifully animated, The Lion King is a pride within Disney's pantheon of classic family films.",Musical & Performing Arts,"kids and family, animation, adventure, musical","Roger Allers, Rob Minkoff",Don Hahn,"Irene Mecchi, Jonathan Roberts, Linda Woolverton","Jun 24, 1994 wide","Aug 15, 2017",422.8,Walt Disney Pictures,0.0
930,Waste Land,2010,"Located just outside Rio de Janeiro, Jardim Gramacho, Brazil, is the world's largest garbage landfill. Modern artist Vik Muniz works with the so-called catadores, the men and women who pick through the refuse, to create art out of recycled materials. Muniz selects six of the garbage pickers to pose as subjects in a series of photographs mimicking famous paintings. In his desire to assist the catadores and change their lives, Muniz finds himself changed as well.",100.0,90.0,"Waste Land begins with an eco-friendly premise, but quickly transforms into an uplifting portrait of the power of art and the dignity of the human spirit.",Musical & Performing Arts,documentary,"Lucy Walker, Karen Harley, João Jardim",Angus Aynsley,,"Oct 29, 2010 limited","Nov 18, 2016",0.1877,,10.0
931,Afghan Star,2009,"Director Havana Marking dives into the booming, but still young and growing, world of pop culture in Afghanistan. Newly liberated after more than 30 years of stifling Taliban rule, the country is taken with a fervor for expression. This documentary follows four contestants, including two women, as they audition, sing and compete in a countrywide ""American Idol""-type competition called ""Pop Idol."" Marking uncovers a wonderfully vibrant community, which is also surprisingly accepting.",100.0,77.0,An enlightening and sobering documentary on Afghanistan's very own X-Factor.,Musical & Performing Arts,documentary,Havana Marking,,,"Jun 26, 2009 limited","Nov 18, 2016",0.1015,Roast Beef Productions,23.0
933,Yellow Submarine,1968,"The music-loving inhabitants of Pepperland are under siege by the Blue Meanies, a nasty group of music-hating creatures. The Lord Mayor of Pepperland (Dick Emery) dispatches sailor Old Fred (Lance Percival) to Liverpool, England, where he is to recruit the help of the Beatles (John Lennon, Paul McCartney, George Harrison, Ringo Starr). The sympathetic Beatles ride a yellow submarine to the occupied Pepperland, where the Blue Meanies have no chance against the Fab Four's groovy tunes.",95.0,84.0,"A joyful, phantasmagoric blend of colorful animation and the music of the Beatles, Yellow Submarine is delightful (and occasionally melancholy) family fare.",Musical & Performing Arts,"comedy, animation, adventure, musical",George Dunning,,"Al Brodax, Roger McGough, Jack Mendelsohn, Lee Minoff, Erich Segal","Nov 13, 1968 wide","Mar 23, 2017",0.9923,"Apple Corps, Subafilms, King Features",11.0
934,We Are the Best!,2013,"Three rebellious teenagers (Mira Barkhammar, Mira Grosin, Liv LeMoyne) form an all-girl punk band in 1980s Stockholm.",96.0,77.0,"Sweet, empathetic, and shot through with a palpable joy, We Are the Best! offers a tender tribute to the bittersweet tumult of adolescence.",Musical & Performing Arts,drama,Lukas Moodysson,"Jessica Ask, Marie Cecilie Gade, Lars Jönsson, Christian Wikander",Lukas Moodysson,"May 30, 2014 limited","Jan 10, 2017",0.1802,"Film i Väst, Memfis Film",19.0
935,Sound City,2013,"Artists and producers highlight the history of the recording studio in Van Nuys, Calif., and discuss the impact of music in the age of technology.",100.0,90.0,"Smart, affectionate, and unabashedly sincere, Sound City pairs a great soundtrack with a well-argued ode to one of rock 'n' roll's most fondly remembered bygone eras.",Musical & Performing Arts,"music, documentary",David Grohl,"David Grohl, John Ramsay, James A. Rota",Mark Monroe,,"Sep 27, 2016",0.4224,"Therapy Content, Roswell Films",10.0
937,Hairspray,1988,"When Tracy Turnblad (Ricki Lake), an overweight teen, auditions for a spot on a popular teen dance show, she beats out the spiteful Amber von Tussle (Colleen Fitzpatrick), winning over Amber's boyfriend (Michael St. Gerard) in the process. After meeting some black students at her school, Tracy begins to push for more racial integration on the dance show. This gets her into trouble on many sides, especially with Amber's pushy parents (Sonny Bono, Deborah Harry).",98.0,80.0,"Hairspray is perhaps John Waters' most accessible film, and as such, it's a gently subversive slice of retro hilarity.",Musical & Performing Arts,comedy,John Waters,Rachel Talalay,,"Feb 26, 1988 wide","Dec 1, 2008",6.7,New Line Cinema,18.0
938,Bill Cunningham New York,2010,"Bill Cunningham, one of the mainstays of the New York Times, has been a contributor to the renowned newspaper for many decades. He's also an incurable and eccentric chronicler of fashion, tirelessly snapping photos of and writing about interestingly attired celebrities and ordinary New Yorkers he spots on the street. This exhaustive profile of Cunningham and his work includes interviews with friends -- and often subjects -- Tom Wolfe, David Rockefeller and Vogue magazine's Anna Wintour.",99.0,92.0,"Suffused with happiness and modest charm, Bill Cunningham New York offers a touching, gently humorous portrait of its subject without invading his jealously guarded privacy.",Musical & Performing Arts,"drama, history, documentary, biography",Richard Press,Philip Gefter,,"Mar 16, 2011 limited","Dec 21, 2016",1.5,First Thought Films,7.0
940,My Fair Lady,1964,"In this beloved musical, pompous phonetics professor Henry Higgins (Rex Harrison) is so sure of his abilities that he takes it upon himself to transform a Cockney working-class girl into someone who can pass for a cultured member of high society. His subject turns out to be the lovely Eliza Doolittle (Audrey Hepburn), who agrees to speech lessons to improve her job prospects. Higgins and Eliza clash, then form an unlikely bond -- one that is threatened by an aristocratic suitor (Jeremy Brett).",95.0,90.0,"George Cukor's elegant, colorful adaptation of the beloved stage play is elevated to new heights thanks to winning performances by Audrey Hepburn and Rex Harrison.",Musical & Performing Arts,musical,George Cukor,"James C. Katz, Jack L. Warner",,"Dec 25, 1964 wide","Nov 9, 2020",0.44760000000000005,Warner Brothers,5.0
941,Rivers and Tides: Andy Goldsworthy With Time,2001,"Andy Goldsworthy's art is supposed to fall apart. He creates large-scale outdoor sculptures and artworks out of natural materials like mud, wood, ice and stone in an attempt to imbue the physical world with a spiritual, ephemeral element. Director Thomas Riedelsheimer follows Goldsworthy as he constructs his art everywhere from upstate New York to his home village in Scotland, and questions the solitary artist about his inspirations, frustrations and artistic goals.",99.0,90.0,Andy Goldsworthy and his art are beautifully captured in this engaging documentary.,Musical & Performing Arts,documentary,Thomas Riedelsheimer,Annedore von Donop,,"Jan 2, 2003 wide","Jul 1, 2016",2.2,,9.0
942,Aladdin,1992,"When street rat Aladdin frees a genie from a lamp, he finds his wishes granted. However, he soon finds that the evil has other plans for the lamp -- and for Princess Jasmine. But can Aladdin save Princess Jasmine and his love for her after she sees that he isn't quite what he appears to be?",95.0,92.0,"A highly entertaining entry in Disney's renaissance era,"" Aladdin is beautifully drawn, with near-classic songs and a cast of scene-stealing characters.",Musical & Performing Arts,"musical, comedy, fantasy, animation, kids and family, adventure","Ron Clements, John Musker","Ron Clements, John Musker","Ron Clements, Ted Elliott, John Musker, Terry Rossio","Nov 25, 1992 wide","Sep 1, 2016",217.0,Walt Disney Pictures,3.0
943,What's Love Got to Do With It,1993,"Based on the life of the legendary soul singer, Tina Turner (Angela Bassett) -- born Anna Mae Bullock -- discovers her love of singing in her Tennessee church choir. She moves to St. Louis to pursue a career, and there she meets the charismatic Ike Turner (Laurence Fishburne), who rechristens her Tina and offers to help her succeed. As a musical team, Ike and Tina take the charts by storm. But as his physical abuse worsens, Tina has to make the tough decision to leave Ike and set out on her own.",96.0,88.0,"With a fascinating real-life story and powerhouse performances from Angela Bassett and Laurence Fishburne, What's Love Got to Do With It? is a can't miss biopic.",Musical & Performing Arts,biography,Brian Gibson,"Doug Chapin, Barry Krost",,"Jun 9, 1993 wide","Dec 12, 2015",38.9,Touchstone Pictures,8.0
944,Muscle Shoals,2013,"Filmmaker Greg Camalier pays tribute to an Alabama city that holds a prominent place in music history. Artists who recorded at FAME Studios in Muscle Shoals, Ala., include Percy Sledge, Aretha Franklin and Lynyrd Skynyrd.",97.0,89.0,"Essential for soul fans and entertaining for novices, Muscle Shoals offers a compelling, warts-and-all glimpse at one of the most fascinating stories in modern American music.",Musical & Performing Arts,documentary,"Greg ""Freddy"" Camalier",,,"Sep 27, 2013 limited","Oct 4, 2016",0.6956,,8.0
946,Searching for Sugar Man,2011,"Though he faded into obscurity in the U.S., an early '70s musician known as Rodriguez became a huge hit in South Africa and was widely rumored to have died. Two obsessed fans set out to learn the man's true fate.",95.0,92.0,"A fascinating portrait of a forgotten musical pioneer, Searching for Sugar Man is by turns informative and mysterious.",Musical & Performing Arts,documentary,Malik Bendjelloul,"George Chignell, Simon Chinn, Nicole Stott",Malik Bendjelloul,"Jul 27, 2012 limited","Oct 1, 2014",3.7,"Red Box Films, Passion Pictures",3.0
947,Beware of Mr. Baker,2012,"Filmmaker Jay Bulger interviews Ginger Baker, legendary and often volatile drummer of the rock groups Cream and Blind Faith.",98.0,87.0,"Free of the hagiographic overtones that dog many documentary profiles, Beware of Mr. Baker presents a clear-eyed, thoroughly gripping look at one of rock's greatest -- and most personally problematic -- musicians.",Musical & Performing Arts,documentary,Jay Bulger,"Fisher Stevens, Erik H. Gordon, Jay Bulger, Andrew S. Karsch",Jay Bulger,"Nov 28, 2012 limited","Aug 10, 2016",0.1143,Insurgent Media,11.0
948,Exit Through the Gift Shop,2010,"The infamous, shadowy British graffiti street artist Banksy has literally left his mark on cities throughout the world. He comes in contact with Thierry Guetta, a Los Angeles-based Frenchman who videotapes various underground art escapades, and later is transformed into an art phenomenon dubbed ""Mr. Brainwash."" Rhys Ifans narrates an overlapping documentary where the line between what is real and what might be fake blurs, as modern art and celebrity are put under the microscope.",96.0,91.0,"An amusing, engrossing look at underground art, Exit Through the Gift Shop entertains as it deflates the myths and hype surrounding its subjects.",Musical & Performing Arts,documentary,Banksy,Jaimie D'Cruz,,"Apr 16, 2010 limited","Aug 10, 2016",3.3,Paranoid Pictures,5.0
949,Keep on Keepin' On,2014,"Legendary jazz musician Clark Terry, who taught Quincy Jones and mentored Miles Davis, becomes the mentor of a blind 23-year-old pianist who suffers from crippling stage fright.",98.0,88.0,"Offering keen observations and infectious warmth, Keep On Keepin' On is a joy for jazz buffs and novices alike.",Musical & Performing Arts,documentary,Alan Hicks,"Paula Dupré Pesmen, Quincy Jones, John Caulkins, Karl Kister","Davis Coombe, Alan Hicks","Sep 19, 2014 limited","Aug 10, 2016",4.0,Absolute Clay,10.0
950,Marley,2012,"The life story of musician, revolutionary and legend Bob Marley, from the early days to international superstardom. Features rare footage, performances and interviews.",95.0,90.0,"Kevin Macdonald's exhaustive, evenhanded portrait of Bob Marley offers electrifying concert footage and fascinating insights into reggae's greatest star.",Musical & Performing Arts,"music, documentary",Kevin Macdonald,"Steve Bing, Charles Steel",,"Apr 20, 2012 limited","Dec 5, 2016",1.4,"Shangri-La Entertainment, Tuff Gong Pictures, Cowboy Films",5.0
951,"You, the Living",2007,"In the Swedish city of Lethe, people from different walks of life take part in a series of short, deadpan vignettes that rush past. Some are just seconds long, none longer than a couple of minutes. A young woman (Jessica Lundberg) remembers a fantasy honeymoon with a rock guitarist. A man awakes from a dream about bomber planes. A businessman boasts about success while being robbed by a pickpocket and so on. The absurdist collection is accompanied by Dixieland jazz and similar music.",98.0,80.0,"Composed of humorous sketches of human behavior, Roy Andersson's You, the Living is an eccentric but highly entertaining and unforgettable work.",Musical & Performing Arts,drama,Roy Andersson,Pernilla Sandstrom,Roy Andersson,,"Jan 12, 2010",0.0214,"Eurimages Fund of the Council of Europe, Sveriges Television, Canal+, Filmstiftung Nordrhein-Westfalen, Norsk Filmfond, Roy Andersson Filmproduktion AB, Arte France Cinema, Nordisk Film & TV-Fond, 4 1/2 Film, Coproduction Office, Svenska Filminstitutet, Det Danske Filminstitut",18.0
952,The Full Monty,1997,"After losing his job at a steel factory, Gaz (Robert Carlyle) learns that his wife wants to sue him for missed child support payments. Desperate for money, Gaz and his friend Dave (Mark Addy) decide to create their own male strip-tease act. The two friends recruit four more men, including their former foreman (Tom Wilkinson) and a security guard (Steve Huison). The group promises that their show will succeed because they are willing to go ""the Full Monty"": completely naked.",96.0,79.0,"Cheeky and infectiously good-natured, The Full Monty bares its big beating heart with a sly dose of ribald comedy.",Musical & Performing Arts,comedy,Peter Cattaneo,Uberto Pasolini,Simon Beaufoy,,"Nov 25, 2015",45.9,"Redwave Films, Twentieth Century Fox, Channel Four Films",17.0
954,Hairspray,2007,"In 1960s Baltimore, dance-loving teen Tracy Turnblad (Nikki Blonsky) auditions for a spot on ""The Corny Collins Show"" and wins. She becomes an overnight celebrity, a trendsetter in dance, fun and fashion. Perhaps her new status as a teen sensation is enough to topple Corny's reigning dance queen and bring racial integration to the show.",91.0,84.0,"Hairspray is an energetic, wholly entertaining musical romp; a fun Summer movie with plenty of heart. Its contagious songs will make you want to get up and start dancing.",Musical & Performing Arts,"comedy, musical",Adam Shankman,"Craig Zadan, Neil Meron",Leslie Dixon,"Jul 20, 2007 wide","Feb 1, 2010",118.8,New Line Cinema,7.0
955,The Little Mermaid,1989,"In Disney's beguiling animated romp, rebellious 16-year-old mermaid Ariel (Jodi Benson) is fascinated with life on land. On one of her visits to the surface, which are forbidden by her controlling father, King Triton, she falls for a human prince. Determined to be with her new love, Ariel makes a dangerous deal with the sea witch Ursula (Pat Carroll) to become human for three days. But when plans go awry for the star-crossed lovers, the king must make the ultimate sacrifice for his daughter.",93.0,88.0,The Little Mermaid ushered in a new golden era for Disney animation with warm and charming hand-drawn characters and catchy musical sequences.,Musical & Performing Arts,"kids and family, animation, fantasy","Ron Clements, John Musker","Howard Ashman, John Musker","Ron Clements, John Musker",,"May 21, 2017",109.9,"Walt Disney Pictures, Silver Screen Partners IV",5.0
956,Straight Outta Compton,2015,"In 1988, a groundbreaking new group revolutionizes music and pop culture, changing and influencing hip-hop forever. N.W.A's first studio album, ""Straight Outta Compton,"" stirs controversy with its brutally honest depiction of life in Southern Los Angeles. With guidance from veteran manager Jerry Heller, band members Ice Cube (O'Shea Jackson Jr.), Dr. Dre (Corey Hawkins), Eazy-E, DJ Yella and MC Ren navigate their way through the industry, acquiring fame, fortune and a place in history.",89.0,91.0,"Straight Outta Compton is a biopic that's built to last, thanks to F. Gary Gray's confident direction and engaging performances from a solid cast.",Musical & Performing Arts,"music, drama, biography",F. Gary Gray,"Ice Cube, Tomica Woods-Wright, Matt Alvarez, F. Gary Gray, Scott Bernstein, Dr. Dre","Jonathan Herman, Andrea Berloff","Aug 14, 2015 wide","Sep 6, 2016",161.0,"New Line Cinema, Circle of Confusion, Legendary Pictures, Cubevision",-2.0
958,The Beaches of Agnès,2008,"In this autobiographical documentary, celebrated French filmmaker Agnes Varda provides a window into her eventful life as she revisits various locales that have been important to her. Interspersed between these trips are interviews with Varda's collaborators and family members, as well as archive footage and still photographs. This eclectic mix provides both a history of the subject and an illuminating tour of an artist's mind and creative process.",96.0,89.0,"An enchanting self-portrait by a veteran director, Beach of Agnes is equal parts playful and profound.",Musical & Performing Arts,"documentary, biography",Agnès Varda,Agnès Varda,"Agnès Varda, Agnès Varda",,"Mar 17, 2017",0.2397,,7.0
960,"20,000 Days on Earth",2014,A therapist's questions and a visit to a voluminous archive propel a dramatization of a day in the life of musician and cultural icon Nick Cave.,95.0,78.0,"Revealing yet respectful, 20,000 Days on Earth is essential viewing for any Nick Cave fan.",Musical & Performing Arts,drama,"Iain Forsyth, Jane Pollard","James Wilson, Dan Bowen","Iain Forsyth, Jane Pollard","Sep 19, 2014 limited","Aug 10, 2016",0.2778,"British Film Institute, Film4",17.0
961,Wordplay,2006,"Filmmaker Patrick Creadon pays tribute to crossword puzzles and those who love them, and features a profile of The New York Times ""puzzle master"" Will Shortz. Among the celebrities who swear by the Times puzzle are President Bill Clinton, folk-rock duo Indigo Girls, comic Jon Stewart, baseball player Mike Mussina and filmmaker Ken Burns.",94.0,80.0,"You see them hunched over with their brows furrowed, folded newspaper in hand as they attempt to complete the crossword puzzle. This may even describe you. This ingeniously edited documentary introduces viewers to some of the more dedicated fans of this solitary pastime, none more well-known the puzzle editor for the New York Times, Will Shortz. This underground world provides a surprising amount of crowd-pleasing entertainment and suspense, especially at the annual crossword tournament. Didn't know there was one, did you?",Musical & Performing Arts,documentary,Patrick Creadon,Christine O'Malley,,,"Dec 31, 2016",3.1,"O'Malley Creadon Productions, Weinstein Company",14.0
962,Pina,2011,"Filmmaker Wim Wenders films dancers in motion as a tribute to legendary choreographer Pina Bausch, who died in 2009.",95.0,81.0,"Pina is an immersive, gorgeously shot tribute to the people who express life through movement.",Musical & Performing Arts,documentary,Wim Wenders,"Gian-Piero Ringel, Wim Wenders",Wim Wenders,"Jan 20, 2012 limited","Jan 17, 2017",3.5,"Eurowide Film Production, Neue Road Movies",14.0
964,Festival Express,2003,"This compilation of footage from the Grateful Dead's Canadian train tour depicts the height of the band's music and fame for five days in 1970, along with that of performances from Janis Joplin, Buddy Guy, The Band and The Flying Burrito Brothers. However, there's also a dark side shown alongside the seminal concerts, as when the train stops, the musicians are often confronted with worried promoters, inquisitive reporters and protesting students who can't afford ticket prices.",96.0,85.0,"Festival Express is a spellbinding documentary that nostalgically chronicles five days in the summer of 1970, when a train full of now- legendary rock perfomers jammed its way across Canada.",Musical & Performing Arts,"music, documentary",Bob Smeaton,"Gavin Poolman, John Trapman",,,"Mar 3, 2014",1.2,Apollo Films Ltd.,11.0
965,Born Into Brothels,2004,"Documentary photographer Zana Briski journeyed into Calcutta's underworld to photograph the city's prostitutes. In return, she offered to teach the prostitutes' children the basics of photography so that the kids could document their own lives on the streets of one of the world's poorest cities. The resulting photographs, often astonishing, were exhibited around the world; many of them are seen in this film, which won the Academy Award for best documentary feature in 2005.",95.0,91.0,A powerful and uplifting documentary.,Musical & Performing Arts,"documentary, biography","Zana Briski, Ross Kauffman","Zana Briski, Ross Kauffman","Ross Kauffman, Zana Briski",,"Sep 10, 2019",3.4,,4.0
966,Funny Girl,1968,"In this bittersweet, classic musical drama, the vibrant and beautiful young Fanny Brice (Barbra Streisand) starts out as a bit player on the New York City vaudeville stage, but works her way up to stardom on Broadway. Valued for her vocal and comedic talents by the renowned theater impresario Florenz Ziegfeld (Walter Pidgeon), Fanny thrives, but her relationship with her suave, imprisoned businessman husband, Nick Arnstein (Omar Sharif), is another story.",93.0,85.0,Barbara Streisand elevates this otherwise rote melodramatic musical with her ultra-memorable star turn as Fanny Brice.,Musical & Performing Arts,musical,William Wyler,Ray Stark,,"Sep 19, 1968 wide","Apr 16, 2012",0.22330000000000003,"Columbia Pictures, Rastar Pictures",8.0
967,Crumb,1994,"Filmmaker Terry Zwigoff creates a complex but affectionate portrait of his longtime friend, underground cartoonist Robert Crumb. A notorious curmudgeon who would prefer to be alone with his fellow cartoonist wife Aline Kominsky-Crumb and his beloved vintage jazz records, Crumb reveals himself to be a complicated personality who suffered a troubled upbringing and harbors a philosophical opposition to the 1960s hippie underground that first celebrated his work.",95.0,89.0,"Crumb is a frank and surreal chronicle of artistic expression and family trauma, offering an unblinking gaze into the mind and work of cartoonist Robert Crumb that will endear as much as it unsettles.",Musical & Performing Arts,documentary,Terry Zwigoff,"Terry Martinelli, Lynn O'Donnell, David Lynch",,,"Nov 30, 2016",0.019899999999999998,Superior Pictures,6.0
968,Love & Mercy,2014,"In the late 1960s, the Beach Boys' Brian Wilson stops touring, produces ""Pet Sounds"" and begins to lose his grip on reality. By the 1980s, Wilson (John Cusack), under the sway of a controlling therapist, finds a savior in Melinda Ledbetter.",89.0,85.0,"As unconventional and unwieldy as the life and legacy it honors, Love & Mercy should prove moving for Brian Wilson fans while still satisfying neophytes.",Musical & Performing Arts,"drama, biography",Bill Pohlad,"Bill Pohlad, Claire Rudnick Polstein, John Wells","Oren Moverman, Michael Alan Lerner","Jun 5, 2015 limited","Jun 18, 2016",12.5,"River Road, Battle Mountain Films",4.0
969,The Wrecking Crew,2008,"The son of guitarist Tommy Tedesco pays tribute to his late father and a core group of studio musicians who played on some of the biggest hits of the 1960s and '70s, including ""California Girls"" and ""Mrs. Robinson.""",95.0,84.0,"The Wrecking Crew may not achieve the greatness of the many classic songs its subjects helped bring to life, but it remains a heartfelt, overdue tribute to overshadowed brilliance.",Musical & Performing Arts,"music, documentary",Denny Tedesco,"Denny Tedesco, Jon Leonoudakis, Suzie Greene Tedesco, Claire Scanlon, Jon Leonudakis",,"Mar 13, 2015 limited","Oct 4, 2016",0.8005,Lunch Box Entertainment,11.0
970,Marina Abramovic: The Artist Is Present,2012,Performance artist Marina Abramovic prepares for a major retrospective of her work at the Museum of Modern Art in New York.,96.0,88.0,,Musical & Performing Arts,"drama, history, documentary, biography",Matthew Akers,"Maro Chermayeff, Jeff Dupre",,,"Aug 10, 2016",0.0838,,8.0
972,Crazy Heart,2009,"With too many years of hazy days and boozy nights,former country-music legend Bad Blake (Jeff Bridges) is reduced to playing dives and bowling alleys. In town for his latest gig, Blake meets Jean Craddock (Maggie Gyllenhaal), a sympathetic reporter who has come to do a story on him. He unexpectedly warms to her and a romance begins, then the singer finds himself at a crossroads that may threaten his last shot at happiness.",90.0,76.0,"Thanks to a captivating performance from Jeff Bridges, Crazy Heart transcends its overly familiar origins and finds new meaning in an old story.",Musical & Performing Arts,"drama, romance",Scott Cooper,"Judy Cairo, Rob Carliner, Robert Duvall, T Bone Burnett",Scott Cooper,"Feb 5, 2010 wide","Nov 25, 2015",39.5,"Butcher's Run Films, Informant Media",14.0
974,Lost in La Mancha,2002,"Visionary director Terry Gilliam has a dream. He wants to film the classic story of Don Quixote by recasting it as a trippy, time-traveling, mistaken-identity adventure with Johnny Depp as Quixote. After struggling for years to get financing, insurance and a cast in place, Gilliam travels to Spain and promptly watches his dream fall apart. From flash floods to cast no-shows to serious injuries, Gilliam and his crew suffer one setback after another.",94.0,77.0,"A remarkable behind-the-scenes look at a movie that wasn't, Lost in La Mancha is an incisive, entertaining document of the difficulties inherent in the moviemaking process.",Musical & Performing Arts,documentary,"Keith Fulton, Louis Pepe",Lucy Darwin,,,"Apr 4, 2017",0.7316,,17.0
975,Lagaan: Once Upon a Time in India,2001,"The year is 1893 and India is under British occupation. In a small village, the tyrannical Captain Russell (Paul Blackthorne) has imposed an unprecedented land tax on its citizens. Outraged, Bhuvan (Aamir Khan), a rebellious farmer, rallies the villagers to publicly oppose the tax. Russell offers a novel way to settle the dispute: he challenges Bhuvan and his men to a game of cricket, a sport completely foreign to India. If Bhuvan and his men can defeat Russell's team, the tax will be repealed.",95.0,93.0,"Lagaan is lavish, rousing entertainment in the old-fashioned tradition of Hollywood musicals.",Musical & Performing Arts,"drama, history, romance",Ashutosh Gowariker,Aamir Khan,,,"Dec 9, 2017",0.9059,,2.0
976,My Kid Could Paint That,2007,"After watching her dad paint, 4-year-old Marla Olmstead decides she'd like to be a painter too. Showing remarkable facility, she's soon got paintings hanging in a local coffee shop and a handful of interested buyers. A local paper picks up the story, followed by the New York Times, and overnight Marla is hailed as a child prodigy. But not everybody is convinced that Marla painted the works alone. In the wake of a ""60 Minutes"" piece about her, it begins to look more and more like she had help.",94.0,78.0,Director Amir Bar-Lev grapples with exposing the authenticity of four-year-old Marla's paintings at the sake of burdening her publicly shamed family to transfixing results.,Musical & Performing Arts,"mystery and thriller, documentary",Amir Bar-Lev,Amir Bar-Lev,Amir Bar-Lev,"Oct 5, 2007 limited","Jan 5, 2014",0.2313,"A&E IndieFilms, Passion Pictures, BBC",16.0
977,End of the Century,2003,"Joey, Johnny and Dee Dee -- better known as The Ramones -- changed the course of rock history with their rebellious punk ethos and minimalist approach to songwriting, and in the process became counterculture icons. ""End of the Century"" follows the Queens kids from their earliest underground gigs in the 1970s to their induction into the Rock and Roll Hall of Fame in 2002, featuring rare archive concert footage and candid interviews with the band members.",95.0,93.0,Gabba gabba hey! With its focus on the groundbreaking work of the 1970s punk band The Ramones End of the Century makes a solid entry into the growing canon of documentaries that capture Punkology.,Musical & Performing Arts,documentary,"Michael Gramaglia, Jim Fields","Jim Fields, Michael Gramaglia",,"Jan 19, 2003 wide","Mar 15, 2005",0.39189999999999997,Chinagraph,2.0
