movie#,title,year,synopsis,critic_score,people_score,consensus,type,genre,director,producer,writer,theater_release,streaming_release,box_office_gross($M),production_co,score_differential
115,Moana,2016,"An adventurous teenager sails out on a daring mission to save her people. During her journey, Moana meets the once-mighty demigod Maui, who guides her in her quest to become a master way-finder. Together they sail across the open ocean on an action-packed voyage, encountering enormous monsters and impossible odds. Along the way, Moana fulfills the ancient quest of her ancestors and discovers the one thing she always sought: her own identity.",95.0,89.0,"With a title character as three-dimensional as its lush animation and a story that adds fresh depth to Disney's time-tested formula, Moana is truly a family-friendly adventure for the ages.",Animation,"musical, comedy, animation, kids and family, adventure","John Musker, Ron Clements",Osnat Shurer,Jared Bush,"Nov 23, 2016 wide","Feb 21, 2017",248.8,Walt Disney Animation Studios,6.0
116,Toy Story,1995,"Woody (Tom Hanks), a good-hearted cowboy doll who belongs to a young boy named Andy (John Morris), sees his position as Andy's favorite toy jeopardized when his parents buy him a Buzz Lightyear (Tim Allen) action figure. Even worse, the arrogant Buzz thinks he's a real spaceman on a mission to return to his home planet. When Andy's family moves to a new house, Woody and Buzz must escape the clutches of maladjusted neighbor Sid Phillips (Erik von Detten) and reunite with their boy.",100.0,92.0,"Entertaining as it is innovative, Toy Story reinvigorated animation while heralding the arrival of Pixar as a family-friendly force to be reckoned with.",Animation,"adventure, kids and family, comedy, animation, fantasy",John Lasseter,,"John Lasseter, Pete Docter, Joe Ranft, Joss Whedon, Andrew Stanton, Joel Cohen, Alec Sokolow",,"Nov 22, 2015",31.3,"Pixar Animation Studios, Walt Disney Pictures",8.0
117,Isle of Dogs,2018,"When, by executive decree, all the canine pets of Megasaki City are exiled to a vast garbage-dump called Trash Island, 12-year-old Atari sets off alone in a miniature Junior-Turbo Prop and flies across the river in search of his bodyguard-dog, Spots. There, with the assistance of a pack of newly-found mongrel friends, he begins an epic journey that will decide the fate and future of the entire Prefecture.",90.0,87.0,The beautifully stop-motion animated Isle of Dogs finds Wes Anderson at his detail-oriented best while telling one of the director's most winsomely charming stories.,Animation,"comedy, animation, adventure",Wes Anderson,"Wes Anderson, Scott Rudin, Steven Rales, Jeremy Dawson",Wes Anderson,"Apr 6, 2018 wide","Jun 27, 2018",31.9,"American Empirical Pictures, Studio Babelsberg",3.0
118,Kubo and the Two Strings,2016,"Young Kubo's (Art Parkinson) peaceful existence comes crashing down when he accidentally summons a vengeful spirit from the past. Now on the run, Kubo joins forces with Monkey (Charlize Theron) and Beetle (Matthew McConaughey) to unlock a secret legacy. Armed with a magical instrument, Kubo must battle the Moon King (Ralph Fiennes) and other gods and monsters to save his family and solve the mystery of his fallen father, the greatest samurai warrior the world has ever known.",97.0,86.0,Kubo and the Two Strings matches its incredible animation with an absorbing -- and bravely melancholy -- story that has something to offer audiences of all ages.,Animation,"fantasy, animation, action, kids and family, adventure",Travis Knight,"Arianne Sutner, Travis Knight","Marc Haimes, Chris Butler","Aug 19, 2016 wide","Nov 8, 2016",48.0,"Laika, Focus Features",11.0
119,How to Train Your Dragon,2010,"Hiccup (Jay Baruchel) is a Norse teenager from the island of Berk, where fighting dragons is a way of life. His progressive views and weird sense of humor make him a misfit, despite the fact that his father (Gerard Butler) is chief of the clan. Tossed into dragon-fighting school, he endeavors to prove himself as a true Viking, but when he befriends an injured dragon he names Toothless, he has the chance to plot a new course for his people's future.",99.0,91.0,"Boasting dazzling animation, a script with surprising dramatic depth, and thrilling 3-D sequences, How to Train Your Dragon soars.",Animation,"comedy, fantasy, animation, kids and family, adventure","Chris Sanders, Dean DeBlois",Bonnie Arnold,"Chris Sanders, Dean DeBlois","Mar 26, 2010 wide","Nov 25, 2015",217.4,"DreamWorks Animation, Vertigo Entertainment",8.0
120,Shaun the Sheep Movie,2015,"All is well at Mossy Bottom Farm, except for the fact that the animals will do anything to get out of work. So, Shaun the sheep and his scheming friends devise a plan to put their master to sleep. However, the ruse backfires when the poor farmer finds himself transported to the big city, having lost his memory. Now, it's up to Sean, Timmy the lamb, Shirley the ewe and the rest of the gang to travel to the metropolis and get him back, while not landing in even more trouble themselves.",99.0,81.0,"Warm, funny, and brilliantly animated, Shaun the Sheep is yet another stop-motion jewel in Aardman's family-friendly crown.",Animation,"kids and family, comedy, adventure, animation","Mark Burton, Richard Starzak","Julie Lockhart, Paul Kewley","Mark Burton, Richard Starzak","Aug 5, 2015 wide","Jun 1, 2016",19.4,"Aardman Animations, Anton Capital Entertainment, Studio Canal",18.0
123,Ratatouille,2007,"Remy (Patton Oswalt), a resident of Paris, appreciates good food and has quite a sophisticated palate. He would love to become a chef so he can create and enjoy culinary masterpieces to his heart's delight. The only problem is, Remy is a rat. When he winds up in the sewer beneath one of Paris' finest restaurants, the rodent gourmet finds himself ideally placed to realize his dream.",96.0,87.0,"Fast-paced and stunningly animated, Ratatouille adds another delightfully entertaining entry -- and a rather unlikely hero -- to the Pixar canon.",Animation,"animation, comedy, kids and family",Brad Bird,Brad Lewis,Brad Bird,"Jun 29, 2007 wide","Nov 23, 2015",206.4,Pixar Animation Studios,9.0
124,My Life as a Zucchini,2016,A police officer (Nick Offerman) and some new friends help an orphan adjust to life at a foster home.,99.0,89.0,My Life as a Zucchini's silly title and adorable characters belie a sober story whose colorful visuals delight the senses even as it braves dark emotional depths.,Animation,"comedy, drama, animation",Claude Barras,"Marc Bonny, Armelle Glorennec, Pauline Gygax, Max Karli",Céline Sciamma,"Feb 24, 2017 limited","May 11, 2017",0.2923,"Rita Productions, KNM, Blue Spirit Animation",10.0
125,The Incredibles,2004,"In this lauded Pixar animated film, married superheroes Mr. Incredible (Craig T. Nelson) and Elastigirl (Holly Hunter) are forced to assume mundane lives as Bob and Helen Parr after all super-powered activities have been banned by the government. While Mr. Incredible loves his wife and kids, he longs to return to a life of adventure, and he gets a chance when summoned to an island to battle an out-of-control robot. Soon, Mr. Incredible is in trouble, and it's up to his family to save him.",97.0,75.0,"Bringing loads of wit and tons of fun to the animated superhero genre, The Incredibles easily lives up to its name.",Animation,"kids and family, comedy, adventure, animation",Brad Bird,"John Lasseter, John Walker",Brad Bird,"Nov 5, 2004 wide","Nov 23, 2015",261.4,Pixar Animation Studios,22.0
127,The LEGO Batman Movie,2017,"There are big changes brewing in Gotham, but if Batman (Will Arnett) wants to save the city from the Joker's (Zach Galifianakis) hostile takeover, he may have to drop the lone vigilante thing, try to work with others and maybe, just maybe, learn to lighten up. Maybe his superhero sidekick Robin (Michael Cera) and loyal butler Alfred (Ralph Fiennes) can show him a thing or two.",90.0,80.0,The Lego Batman Movie continues its block-buster franchise's winning streak with another round of dizzyingly funny -- and beautifully animated -- family-friendly mayhem.,Animation,"comedy, animation, action, kids and family, adventure",Chris McKay,"Dan Lin, Phil Lord, Christopher Miller, Roy Lee","Seth Grahame-Smith, Chris McKenna, Erik Sommers, Jared Stern, John Whittington","Feb 10, 2017 wide","May 19, 2017",175.7,"Warner Bros. Pictures, Lin Pictures, Vertigo Entertainment",10.0
